"Agency.Name","ABN","Value","Description","Procurement.Method","Title","Common.Title","Count","Total","Limited","Open","Prequalified","Supplier.Name"
"Department of Education Employment and Workplace Relations","68095169412",1700200,"To provide 204  School Based Traineeship opportunities to Indigenous Australians in northern New South Wales, Sydney and western New South Wales","Limited tender","Community and social services","Community and social services",4,4421930,2140200,2281730,0,"Aboriginal Employment Strategy Limited"
"Department of Regional Australia, Local Government, Arts and Sport","68096077422",38051.48,"Websense Web Security licences","Limited tender","Software","Components for information technology or broadcasting or telecommunications",2,51966.48,38051.48,13915,0,"Zallcom Pty Ltd"
"Austrade","68096077422",30420.42,"Backup Software","Limited tender","Software","Software",1,30420.42,30420.42,0,0,"Zallcom Pty Ltd"
"Department of Health and Ageing - Therapeutic Goods Administration","68096077422",11398.2,"200 User Licences for Securtiy Gateway","Limited tender","Components for information technology or broadcasting or telecommunications","Components for information technology or broadcasting or telecommunications",1,11398.2,11398.2,0,0,"Zallcom Pty Ltd"
"Department of Infrastructure and Transport","68096077422",142362,"Intelledox System","Open tender","Management advisory services","Management advisory services",23,884822.3,0,884822.3,0,"Zallcom Pty Ltd"
"IP Australia","68096077422",45870,"Symantec Brightmail Gateway 1200 x User Subscription","Limited tender","Software","Software",2,84150,84150,0,0,"Zallcom Pty Ltd"
"Department of Immigration and Citizenship","68096077422",487632.26,"Adobe Acrobat Software Licenses","Open tender","Software","Software",6,722634,80506.3,642127.7,0,"Zallcom Pty Ltd"
"Department of the Senate","68096077422",47127.3,"Zalcom / acrobatandadobe upgrade","Prequalified tender","Software","Software",2,75060.81,0,0,75060.81,"Zallcom Pty Ltd"
"Department of Families, Housing, Community Services and Indigenous Affairs","68096077422",133155,"ICT software licence and /or maintenance","Open tender","Software","Computer services",5,240598.42,107443.42,133155,0,"Zallcom Pty Ltd"
"Department of Veterans' Affairs","68096077422",17170.03,"Jaws Professional (12 Licences) CS5.5 Adobe Design Premium 5.5. Win 1 User TLP Licence&nbsp; eLearning Suite 2.5, Multiple Platforms 1 User TLP Licence","Limited tender","Computer services","Computer services",2,32152.86,32152.86,0,0,"Zallcom Pty Ltd"
"Department of Foreign Affairs and Trade","68096077422",32095.31,"Provision of Software","Limited tender","Software","Software",1,32095.31,32095.31,0,0,"Zallcom Pty Ltd"
"Australian Taxation Office","68096077422",76354.66,"Adobe Upgrade Plan 2012","Limited tender","Software maintenance and support","Software maintenance and support",4,179356.05,179356.05,0,0,"Zallcom Pty Ltd"
"Office of National Assessments","68096077422",29864,"Software support and maintenance","Limited tender","Software","Software",2,41520,41520,0,0,"Zallcom Pty Ltd"
"Department of Defence","68096077422",11433.31,"Software Upgrade","Limited tender","Software","Software",1,11433.31,11433.31,0,0,"Zallcom Pty Ltd"
"Department of Finance and Deregulation","68096077422",471775.98,"SharePoint management software","Open tender","Software","Software",21,1912812.6,50286.5,1862526.1,0,"Zallcom Pty Ltd"
"Australian Federal Police","68096077422",89059.25,"Supply of software license and maintenance renewal","Open tender","Software maintenance and support","Software maintenance and support",4,240800.95,0,240800.95,0,"Zallcom Pty Ltd"
"Australian Transport Safety Bureau","68096077422",26322.12,"Websense Email and Web security","Limited tender","Software","Software",4,70112.65,43473.87,0,26638.78,"Zallcom Pty Ltd"
"Department of Education Employment and Workplace Relations","68096077422",234939.58,"IT Software & Maintenance - 2012/13 Adobe Requirements","Open tender","Software maintenance and support","Software maintenance and support",3,280892.3,0,280892.3,0,"Zallcom Pty Ltd"
"Department of Broadband Communications and the Digital Economy","68096077422",46000,"software maintenance","Prequalified tender","Software","Software",3,86809.6,40809.6,0,46000,"Zallcom Pty Ltd"
"Department of Parliamentary Services","68096077422",504174.03,"Provision of software licences","Limited tender","Software","Software",3,651192.48,651192.48,0,0,"Zallcom Pty Ltd"
"Defence Materiel Organisation","68096077422",20383,"Qty 10 Adobe Cs5.5 Production Premium 5.5","Open tender","Software","Software",1,20383,0,20383,0,"Zallcom Pty Ltd"
"Department of Industry, Innovation, Science, Research and Tertiary Education","68096077422",68231.77,"MsXfax Subscription Licence -Three Year Support  Maintenance","Limited tender","Software maintenance and support","Software maintenance and support",5,217041.56,171116.56,0,45925,"Zallcom Pty Ltd"
"Department of the Treasury","68096077422",50000,"Adobe License maintenance","Limited tender","Software maintenance and support","Software maintenance and support",4,92682.63,66500,0,26182.63,"Zallcom Pty Ltd"
"Department of Climate Change and Energy Efficiency","68096077422",70559.66,"Adobe Upgrade, Licenses and Maintainance 2012/14","Open tender","Software maintenance and support","Software maintenance and support",3,149470.66,14000,135470.66,0,"Zallcom Pty Ltd"
"Department of Health and Ageing","68096077422",173999.96,"Purchase and Upgrades","Limited tender","Software","Software",2,186245.33,186245.33,0,0,"Zallcom Pty Ltd"
"Department of the Prime Minister and Cabinet","68096077422",1133382.78,"Software Licencing and Maintenance Support","Open tender","Software maintenance and support","Software maintenance and support",18,2464401.06,0,2464401.06,0,"Zallcom Pty Ltd"
"Department of Regional Australia, Local Government, Arts and Sport","68102652148",420000,"Northern Australia Sustainable Futures Data Development project","Open tender","Project management","Project management",2,601387.8,0,601387.8,0,"ACIL Tasman Pty Ltd"
"Department of Industry, Innovation, Science, Research and Tertiary Education","68102652148",292949.8,"Economic Benefits of High Resolution Positioning Services","Open tender","Economic analysis","Economic analysis",1,292949.8,0,292949.8,0,"ACIL Tasman Pty Ltd"
"Bureau of Meteorology","68102652148",36824.15,"*ACILTASMAN ASSESS. OF THE IOC PERTH OFFICE","Limited tender","Management advisory services","Management advisory services",1,36824.15,36824.15,0,0,"ACIL Tasman Pty Ltd"
"Austrade","68102652148",73000,"Referrals project - develop a policy for the delivery of referrals","Limited tender","Corporate objectives or policy development","Corporate objectives or policy development",1,73000,73000,0,0,"ACIL Tasman Pty Ltd"
"Department of Climate Change and Energy Efficiency","68102652148",81000,"Community Energy Efficiency Program Technical Viability","Open tender","Economic or financial evaluation of projects","Economic or financial evaluation of projects",1,81000,0,81000,0,"ACIL Tasman Pty Ltd"
"Department of Sustainability, Environment, Water, Population and Communities","68102652148",222890,"Cost Benefit Analysis Relating to Persistant Organic Pollutants","Open tender","Economic analysis","Economic analysis",2,254982.5,0,254982.5,0,"ACIL Tasman Pty Ltd"
"Australian Competition and Consumer Commission","68102652148",170628.2,"Management advisory services","Open tender","Management advisory services","Management advisory services",3,286625.2,0,286625.2,0,"ACIL Tasman Pty Ltd"
"Department of Resources Energy and Tourism","68102652148",100012.48,"Provision of Shock Scenario Modelling Project","Open tender","Economic analysis","Management advisory services",4,330543.73,0,330543.73,0,"ACIL Tasman Pty Ltd"
"Department of Infrastructure and Transport","68102652148",110000,"Provision of competition analysis","Open tender","Economics","Economics",2,159940,0,159940,0,"ACIL Tasman Pty Ltd"
"Department of Veterans' Affairs","68109740043",2860000,"Upgrade of Curam to Version 6.0","Open tender","Computer services","Computer services",10,4089797,0,4089797,0,"Curam Software P/L -  CANBERRA"
"Geoscience Australia","68123110243",840400,"Eucla Basin South-West, Central and East Gravity Surveys. Contract G3462A A","Open tender","Earth science services","Earth science services",3,2059785.2,0,2059785.2,0,"Atlas Geophysics Pty Ltd"
"Defence Materiel Organisation","68123619009",615139,"HMAS MANOORA & KANIMBLA POA TECHNICAL SUPPORT AND PLANNING COORDINATION SERVICES","Limited tender","Service Industry Machinery and Equipment and Supplies","Service Industry Machinery and Equipment and Supplies",3,1253079.02,1253079.02,0,0,"CAPABILITY BY DESIGN"
"Department of Defence","68125805647",2200000,"Engineering Services","Open tender","Software or hardware engineering","Professional engineering services",71,9640296.57,1448889.45,6651757.08,1539650.04,"QINETIQ PTY LTD"
"Defence Materiel Organisation","68125805647",1802666.86,"Capability Survey for Domestic Munitions","Open tender","Explosive materials","Aerospace systems and components and equipment",35,9570226.94,3429160.93,4982871.85,1158194.16,"QINETIQ PTY LTD"
"Department of Defence","68437423269",9870720,"Deliver Medical Training","Open tender","Education and Training Services","Education and Training Services",1,9870720,0,9870720,0,"WODONGA INSTITUTE OF TAFE"
"Defence Materiel Organisation","68463974006",11224924,"Missile Enhancement Program","Limited tender","Missiles","Missiles",1,11224924,11224924,0,0,"THE BOEING COMPANY"
"Department of Human Services","68495818033",1673072.5,"Communication Services","Open tender","Software maintenance and support","Software",16,3008811.2,392031.3,2600059.9,16720,"Nuance Communications Ireland Ltd"
"Department of Defence","68495818033",20790.17,"Scientific / Research related Software","Limited tender","Software","Software",1,20790.17,20790.17,0,0,"Nuance Communications Ireland Ltd"
"Department of Climate Change and Energy Efficiency","68574011917",1200000,"Inspection services National Solar School Program","Limited tender","Management advisory services","Management advisory services",1,1200000,1200000,0,0,"ORER Official Departmental Head Office Payments Account"
"Department of Parliamentary Services","68706814312",10450,"Provision of security clearances","Limited tender","Security surveillance and detection","Security surveillance and detection",1,10450,10450,0,0,"DEFENCE - 'INTER-AGENCY TRANSFERS'"
"Department of Agriculture Fisheries and Forestry","68706814312",450000,"Provision of security clearance services","Limited tender","Business administration services","Business administration services",1,450000,450000,0,0,"DEFENCE - 'INTER-AGENCY TRANSFERS'"
"Australian Public Service Commission","68706814312",24232.86,"Security Vetting","Limited tender","Security and personal safety","Security and personal safety",1,24232.86,24232.86,0,0,"DEFENCE - 'INTER-AGENCY TRANSFERS'"
"Department of Finance and Deregulation","68706814312",2e+05,"Security Vetting Services","Limited tender","Security and personal safety","Security and personal safety",2,225000,225000,0,0,"DEFENCE - 'INTER-AGENCY TRANSFERS'"
